Review
"Min, ini kenapa dah? aku cek Jaringan aman, di lobby juga aman. Tapi pas masuk match apalagi mabar sering kuning&merah ping nya, udah hampir 5x loh!!. Matchmaking juga kadang kurang rata, terus laporan pemain AFK juga masih ada yang nggak kedeteksi jadi 2x laporan. Semoga masalah delay dan optimasinya bisa segera diperbaiki. Aku pengen nyaman main hok buat santai/seru-seruan."
"saya mengubah ulasan, karena entah kenapa akhir akhir ini saya lag padahal udah grafik rata kiri, memori udah saya kosongkan, sudah gunakan game booster resmi, masih lag hingga crash, padahal teman saya HP nya kentang alias gak kuatan buat main, tapi mampu main hok ultra grafik, memori dia penuh, tanpa game booster, advan seri lama, sedangkan saya redmi, ini memang secara personal atau gimana? saya mau yang dulu balik, Frame Rate stabil, Ping stabil, ramah HP."
gamenya terlalu seimbang buat game lebih sulit. saya lelah main di mid sebagai insiator buat perang. kadang tim saya tidak berguna kadang juga bisa merepotkan. bisakah buat patch yang mana menguntungkan solo player seperti saya?? game ini terlalu bergantung sama koordinasi tim. hal ini membuat saya tidak maksimal dalam membunuh satu musuh aja dengan 1 vs 1 di mid. terlalu berharap dengan skill tim dan kombinasi skill membuat saya solo player kesulitan dalam memenangkan war 1 vs 1.
"Game Nya Sangat Bagus, Event Nya Banyak dan seru. sedikit saran : 1. Perbaiki Sistem pertandingan 2. Perbaiki Bug 3. Voice Pack nya lebih gaul dan intonasi maupun suara nya lebih dioptimalkan biar gk kaku 4. Pemilihan Hero untuk skin Collab lebih di akurasi sesuai karakter yg di Collab. 5. Perbaiki UI 6. Perdetail Map 7. pencahayaan yg lebih cerah dan hd untuk event, tampilan, map, loading screen, dll 8. Perdetail dan perbaiki kualitas Skin, Hero, animasi. 9. Lebih Peduli ke pemain. terimakasih"
"gamenya bagusss bangett, aku suka grafiknya dan game ini adalah game moba the besttt. gameplay nya juga enak.. tapi saya ada kendala dimana saya gabisa melakukan pembelian diaplikasi, eumm tapi gapapa. bintang ⭐⭐⭐⭐⭐ gameplay-nya seru, matchnya ngga terlalu ngebosenin. cocok banget buat ngisi waktu luang atau mabar sama temen. 10/10 would recommend!"
"Selalu dapat tim buruk, tidak bisa diajak kerja sama. Selalu dapat player feeder, bot. Benar benar membuat ku emosi, banget. minimal benerin lah matchmaking nya, jangan event terus yang ada. Udah stress ini aku! paling suka main solo aku ketimbang mabar."
"bener bener ya ni game rusak kayak ga diurus, berasa game anak tiri dibanding cn nya. masuk event aja loading mulu bahkan claim doang loading lagi, itupun ga ke claim berkali-kali. eventnya juga kadang ga kelihatan ampe harus relog lagi dan lagi. bener bener nih game skinnya doang yang di rilis tapi bug ga diperbaiki, beda banget ama game sebelah."
"min ini kok download datanya lama banget ya? udah lebih dari seminggu, tapi belum selesai juga. Padahal jaringan saya stabil, dan saya tetap didalam game selama berjam-jam, tetapi progres download tidak bertambah. Trus kalau saya keluar dari game, data yang sudah terdownload malah berkurang, bahkan pernah sampai ter reset. Mohon bantuannya ya, min. Terima kasih. 🙏"
"Game nya udah bagus tapi Tolong di benarkan bug nya,bug yang membuat download data lama banget padahal saya menggunakan Wifi dan jaringan nya juga kenceng banget,dan petunjuk angka pada download data padahal tadi udah 99% tapi pass di pause dulu dan di lanjut malah jadi 60% tolong ya di benarkan!!!"
"sistem download yang terlalu aneh,saya sudah prioritas download yg hanya di perlukan tapi selalu men download fitur yg lain sudah 3gb download data fitur event maupun tampilan Hero masih blum ke buka, 3gb hanya untuk bermain itu masih kurang,saran saya di benerin lagi sistem nya hampir semua player indo men tingkan performa kalau di game sebelah size 2/3gb sudah bisa melihat skin game play yg smooth cocok buat player kentang, fitur event juga sudah ke buka. semoga jadi lebih baik."
"matchmaking tidak seimbang! selalu dapat tim feeder dan tidak mau berkontribusi! kalau melapor player selalu tidak di tindak! padahal sudah jelas bahwa player itu feeder! berkali bertemu dengan musuh dengan rank tinggi sementara tim memiliki rank rendah! (padahal saya bermain solo), makin lama gamelu makin rusak dah! matchmaking makin lama! melenceng jauh dari perkiraan! kalo ga ketemu² pasti langsung dikasih tim bot! tolong di perbaiki kendala pencarian tim nya, pihak honor of king saya mohon"
"• Mohon perbaiki sistem deteksi koneksi. Ping saya normal (34ms/hijau), tetapi karakter tetap tidak merespons saat lag. • Tolong bedakan pemain AFK dengan pemain yang mengalami gangguan jaringan. Jangan berikan hukuman jika masalah bukan karena kesengajaan. • Tambahkan indikator koneksi yang lebih jelas agar pemain tahu penyebab masalah. • Mohon tambahkan sistem AI sementara saat pemain benar-benar terputus agar tim tidak dirugikan. • Sistem penalti perlu diperbaiki agar lebih adil bagi pemain."
"entah kenapa update kali ini saya merasakan bug yang tidak nyaman ada beberapa bagian area yang tidak bisa saya sentuh seperti saya mati saya tidak bisa memberikan komentar ke tim ataupun jaringan yang sangat tidak stabil, saya sudah main game ini selama 2 tahun/182 jam tetapi setelah saya mengupdate event ini ada banyak bug. Jika kalian mengira itu device saya yang bermasalah saya rasa tidak, saya bermain game lain yang sama seperti HOK, aman aman saja"
"saran ku perbaikan dulu untuk bug sistem download nya min, masak harus bekali - kali download data setiap mau login, jadinya kita sebagai pemain males untuk hal itu terus. update untuk pact saat ini kenapa terus setiap mau download event keuntungan selalu aja nggak bisa bahkan sinyal wifi nggak bermasalah dan tetap bagus jadi kecewa sekarang mau main HOK ini"
geloo ini mah mobile legends versi old mekaniknya tapi grafiknya muantap. apalagi suara quick chat yang bisa didenger semua plus kata katanya itu ngetaunt bgt. jadi overall bagus tapi lama nya match hok itu paling cepat cuma 20 mnt dan pacing game nya yang lambat itu mungkin bikin player game sebelah yang baru pindah jadi harus latihan sabar lagi. jadi saran saja untuk coba bikin match nya lebih singkat atau nambahin mode game dengan map berbeda seperti game sebelah dengan chaos clash nya
